name,title,longtitle,size,shoulders,layers,mmposition,videotutorial,videoauthor,videotutorial2,videoauthor2,videotutorial3,videoauthor3,position,description,pretied,finish,newborns,legstraighteners,leaners,bigkids,feeding,quickups,pregnancy,difficulty,fancy,votes,rings,pass_horizontal,pass_sling,pass_cross,pass_reinforcing_cross,pass_reinforcing_horizontal,pass_poppins,pass_ruck,pass_kangaroo,other_legpasses,other_chestpass,other_waistband,other_bunchedpasses,other_shoulderflip,other_twistedpass,other_s2s,other_eyelet,other_sternum,other_poppins
annes_fwcc,Anne's FWCC,Anne's Front Wrap Cross Carry,0,2,1,3,https://www.youtube.com/embed/E-k0Nkp416g?si=XwxRtWJ3TDniymYy,Sheen Slings,,,,,front,,0,knotless,5,1,5,1,2,3,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
annes_knotless_front_pocket_double_cross_carry,Anne's Knotless Front Pocket Double Cross Carry,Anne's Knotless Front Pocket Double Cross Carry,1,2,3,3,https://www.youtube.com/embed/DPfHmKG-hqM?si=to8yivICbW6L64k6,Alyssa Leonard,,,,,front,,0,knotless,5,2,5,5,2,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autumns_ruck_knotless_tibetan,Autumn's Ruck Knotless Tibetan,Autumn's Ruck Knotless Tibetan,-1,2,2,0,https://www.youtube.com/embed/xJLWr2oBxlI?si=P4fJOWn8e-xoxnOn,silverzephyr16,,,,,back,,0,knotless tibetan,2,2,5,4,1,4,1,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
autumns_ruck_tied_tibetan,Autumn's Ruck Tied Tibetan,Autumn's Ruck Tied Tibetan,0,2,2,0,https://www.youtube.com/embed/IEXIZOOwwSw?si=p4ySb60ChATJ8Z8e,Wraplena,,,,,back,,0,tibetan,2,2,5,4,1,4,1,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
back_poppins,Poppins Back Carry,Poppins Back Carry,-2,1,1,0,https://www.youtube.com/embed/dV7yI0hFggg?si=q8Hy-Vv2v8qTHCN5,Wraplena,,,,,back,,0,TIF,1,3,1,2,1,3,1,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
bwcc,Back Wrap Cross Carry,Back Wrap Cross Carry,-1,2,3,0,https://www.youtube.com/embed/zYgHenPUIlg?si=wtbhU5UoBSfHRVvy,WrappingRachel,https://www.youtube.com/embed/f2aaqAlgcKE?si=CTpIMaGLzVjuxxJe,didymos,,,back,,0,TIF,1,4,4,3,1,1,1,4,2,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
bwcc_xena,Xena's Back Wrap Cross Carry,Xena's Back Wrap Cross Carry,-1,2,3,0,https://www.youtube.com/embed/YiQoASpd9nw?si=_gQodyjr74IrQEPW,Firespiral Slings,,,,,back,,0,TIF,1,4,4,3,1,2,1,5,4,0,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
charlies_cross_carry_knotless,Charlie's Cross Carry Knotless,Charlie's Cross Carry Knotless,0,2,3,0,https://www.youtube.com/embed/gMdrSrbl7RA?si=Ghw0S4Xo6tRRITye,Little lifts,https://www.youtube.com/embed/FRqttOCEw-c?si=IJXcA2Fv_jRS8koR,Teresa Janette,,,back,,0,knotless,1,5,2,5,1,1,1,4,4,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
charlies_cross_carry_ring,Charlie's Cross Carry with a Ring,Charlie's Cross Carry with a Ring,0,2,3,0,https://www.youtube.com/embed/rWexL1fXz6I?si=518kwZv33G00GzgV,Wrapyouinlove,https://www.youtube.com/embed/ZPI1pu8TAMU?si=NWVvxhIHqHGVNbRh,Tasman Rompf,,,back,,0,ring(s),1,5,2,5,1,1,1,4,5,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
christinas_ruckless,Christina's Ruckless,Christina's Ruckless,0,2,3,1,https://www.youtube.com/embed/lxqxa_1eRHE?si=z56N7UEtlpkcjyR3,Wrapyouinlove,,,,,back,,0,TIF,1,5,4,5,1,1,1,4,3,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
coolest_hip_cross_carry,Coolest Hip Cross Carry,Coolest Hip Cross Carry,-2,1,2,5,https://www.youtube.com/embed/0MweaffWt64?si=B0UdA9ISN4Cd_T23,Wrapyouinlove,,,,,front,,1,slipknot,4,5,1,1,4,4,1,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dh_buleria,Double Hammock Buleria,Double Hammock Buleria,-1,2,2,6,https://www.youtube.com/embed/tYFFAvpis70?si=AbOmoPEFZ3rbpNfk,BabywearingFaith,,,,,back,,0,buleria,1,3,4,4,1,3,1,3,4,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
dh_cccb,Double Hammock CCCB,Double Hammock Candy Cane Chest Belt,0,2,2,0,https://www.youtube.com/embed/gD16sKnyfB8?si=11rUQy3PHW2vhnpD,Wrapyouinlove,,,,,back,,0,CCCB,1,3,4,4,1,3,1,3,4,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
dh_double_rings,Double Hammock Double Rings,Double Hammock Double Rings,-3,2,2,1,https://www.youtube.com/embed/l6r7rZys7KQ?si=fpqZIKZ5yFMIzvhR,Amanda at Leap!,,,,,back,,0,ring(s),1,2,4,3,1,2,1,4,4,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dh_freshwater,Double Hammock Freshwater,Double Hammock Freshwater,1,2,2,1,https://www.youtube.com/embed/c9KysQpAXsw?si=wszswlYYOgeccfxj,Wrapyouinlove,https://www.youtube.com/embed/wIdK4sTj6Q0?si=J0AhGfm823qfX9Dy,TWOMORAYEELS,,,back,,0,TIF,1,2,4,5,1,2,1,4,5,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
dh_pond,Double Hammock Pond Finish,Double Hammock with a Pond Finish,0,1,2,1,https://www.youtube.com/embed/aQoEJmYkzL4?si=SREN9WiLIgfro_i4,Little lifts,,,,,back,,0,TUB,1,2,2,4,1,2,1,4,5,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
dh_poppins,Double Hammock Poppins,Double Hammock Poppins,0,1,2,1,https://www.youtube.com/embed/hhl7-UJgPYY?si=q8ylNaBtblbSxeuZ,Tandem Trouble,,,,,back,,0,TUB,1,2,2,4,1,2,1,4,5,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
dh_rbc,Double Hammock Ruckless Bikini Carry,Double Hammock Ruckless Bikini Carry,2,2,4,1,https://www.youtube.com/embed/slZJ06ooNZ4?si=-uyAU7BsFQloTQXa,silverzephyr16,,,,,back,,0,TIF,1,5,4,5,1,1,1,5,5,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
dh_s2s,Double Hammock S2S,Double Hammock Shoulder to Shoulder,-1,2,3,6,https://www.youtube.com/embed/HyidL-pfkOE?si=cdC5ydG_iQXprxDV,Denim Bei Dai,,,,,back,,0,knotless,1,2,4,3,1,1,1,4,4,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
